,Age,PTS,FG%,3P%,3PA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,Rank,Season,Name
10,26.3,12.070000000000002,0.46790000000000004,0.3635,3.6300000000000003,0.8068000000000002,1.05,3.7199999999999998,2.85,0.9100000000000001,0.55,1.3299999999999998,2.15,9,2018-19,Boston Celtics
11,24.9,11.48,0.4469,0.34890000000000004,3.41,0.7567,0.9399999999999998,3.7099999999999995,2.43,0.77,0.48,1.4100000000000001,2.0700000000000003,4,2017-18,Boston Celtics
12,25.22222222222222,12.366666666666665,0.4588888888888889,0.3585555555555555,3.811111111111111,0.7692222222222223,0.9444444444444444,3.5555555555555554,2.922222222222222,0.8555555555555555,0.43333333333333335,1.4444444444444444,2.1666666666666665,4,2016-17,Boston Celtics
13,24.875,12.35,0.449625,0.30875,3.2375,0.754375,1.2125,3.6374999999999997,2.875,1.1500000000000001,0.4625,1.5250000000000001,2.4125,9,2015-16,Boston Celtics
14,24.125,10.6375,0.45125,0.30842857142857144,2.7857142857142856,0.748875,1.3125,3.575,2.3125,0.8875,0.42500000000000004,1.3125,2.3874999999999997,16,2014-15,Boston Celtics
15,25.0,9.299999999999999,0.4435,0.3291428571428572,1.9142857142857144,0.7469999999999999,1.3875,3.1125,1.9374999999999998,0.7625,0.4375,1.4000000000000001,2.275,26,2013-14,Boston Celtics
16,29.11111111111111,9.399999999999999,0.48444444444444446,0.307,2.1571428571428575,0.7881111111111111,0.8444444444444446,3.1333333333333337,1.8999999999999997,0.8111111111111111,0.4444444444444444,1.211111111111111,2.188888888888888,16,2012-13,Boston Celtics
17,29.22222222222222,10.57777777777778,0.4626666666666667,0.35214285714285715,2.5,0.7688888888888887,0.7444444444444446,3.3222222222222224,2.888888888888889,0.8555555555555556,0.5625,1.5666666666666667,2.0222222222222226,10,2011-12,Boston Celtics
18,29.571428571428573,12.171428571428569,0.4762857142857143,0.27171428571428574,1.885714285714286,0.7737142857142858,0.8,3.7,3.4285714285714284,1.1285714285714286,0.38571428571428573,1.6714285714285713,2.1142857142857143,6,2010-11,Boston Celtics
19,29.25,10.975,0.47800000000000004,0.29783333333333334,1.7249999999999996,0.7538750000000001,0.8624999999999999,2.7375,2.8,0.9875,0.3125,1.4874999999999998,2.175,9,2009-10,Boston Celtics
20,25.90909090909091,10.972727272727274,0.4560909090909091,0.32139999999999996,3.9899999999999998,0.7443636363636362,1.0454545454545454,3.454545454545455,2.272727272727273,0.6272727272727273,0.4090909090909091,1.409090909090909,2.145454545454545,15,2018-19,Brooklyn Nets
21,24.7,11.28,0.4511,0.3473,3.7600000000000002,0.7755000000000001,0.99,3.55,2.59,0.6799999999999999,0.5,1.51,2.0999999999999996,23,2017-18,Brooklyn Nets
22,25.7,10.280000000000001,0.4363,0.3296,3.07,0.7839,0.7200000000000001,3.3200000000000003,2.06,0.7,0.42000000000000004,1.57,2.02,30,2016-17,Brooklyn Nets
23,28.0,10.537499999999998,0.4493750000000001,0.29414285714285715,2.0428571428571427,0.747375,1.1749999999999998,3.375,1.9625000000000001,0.6375,0.4571428571428572,1.4125,1.7374999999999998,28,2015-16,Brooklyn Nets
